WARNING | 2023-04-19 01:49:20,867 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: cplus_demangle_operators
WARNING | 2023-04-19 01:49:20,868 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: cplus_demangle_builtin_types
WARNING | 2023-04-19 01:49:20,868 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: _sch_istable
WARNING | 2023-04-19 01:49:20,869 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: _bfd_std_section
WARNING | 2023-04-19 01:49:20,872 | cle.loader | The main binary is a position-independent executable. It is being loaded with a base address of 0x400000.
WARNING | 2023-04-19 01:49:20,895 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
DEBUG   | 2023-04-19 01:49:20,933 | arbiter.master_chief.sa_recon | Creating CFG
Identifying functions:   0%|          | 0/2647 [00:00<?, ?it/s]INFO    | 2023-04-19 01:49:57,835 | arbiter.master_chief.sa_recon | Starting recon of 0x408000
INFO    | 2023-04-19 01:49:57,835 | arbiter.master_chief.sa_recon | Starting recon of 0x408020
INFO    | 2023-04-19 01:49:57,835 | arbiter.master_chief.sa_recon | Starting recon of 0x40802d
INFO    | 2023-04-19 01:49:57,835 | arbiter.master_chief.sa_recon | Starting recon of 0x408030
INFO    | 2023-04-19 01:49:57,835 | arbiter.master_chief.sa_recon | Starting recon of 0x40803f
INFO    | 2023-04-19 01:49:57,835 | arbiter.master_chief.sa_recon | Starting recon of 0x408040
INFO    | 2023-04-19 01:49:57,835 | arbiter.master_chief.sa_recon | Starting recon of 0x40804f
INFO    | 2023-04-19 01:49:57,835 | arbiter.master_chief.sa_recon | Starting recon of 0x408050
INFO    | 2023-04-19 01:49:57,835 | arbiter.master_chief.sa_recon | Starting recon of 0x40805f
INFO    | 2023-04-19 01:49:57,835 | arbiter.master_chief.sa_recon | Starting recon of 0x408060
INFO    | 2023-04-19 01:49:57,835 | arbiter.master_chief.sa_recon | Starting recon of 0x40806f
INFO    | 2023-04-19 01:49:57,835 | arbiter.master_chief.sa_recon | Starting recon of 0x408070
INFO    | 2023-04-19 01:49:57,835 | arbiter.master_chief.sa_recon | Starting recon of 0x40807f
INFO    | 2023-04-19 01:49:57,835 | arbiter.master_chief.sa_recon | Starting recon of 0x408080
