WARNING | 2023-04-18 22:03:59,961 | cle.loader | The main binary is a position-independent executable. It is being loaded with a base address of 0x400000.
DEBUG   | 2023-04-18 22:03:59,977 | arbiter.master_chief.sa_recon | Creating CFG
Identifying functions:   0%|          | 0/1024 [00:00<?, ?it/s]INFO    | 2023-04-18 22:04:06,725 | arbiter.master_chief.sa_recon | Starting recon of 0x408000
INFO    | 2023-04-18 22:04:06,726 | arbiter.master_chief.sa_recon | Starting recon of 0x408020
INFO    | 2023-04-18 22:04:06,726 | arbiter.master_chief.sa_recon | Starting recon of 0x40802c
INFO    | 2023-04-18 22:04:06,726 | arbiter.master_chief.sa_recon | Starting recon of 0x408030
INFO    | 2023-04-18 22:04:06,726 | arbiter.master_chief.sa_recon | Starting recon of 0x408040
INFO    | 2023-04-18 22:04:06,726 | arbiter.master_chief.sa_recon | Starting recon of 0x408050
INFO    | 2023-04-18 22:04:06,728 | arbiter.master_chief.sa_recon | Starting recon of 0x408060
INFO    | 2023-04-18 22:04:06,728 | arbiter.master_chief.sa_recon | Starting recon of 0x408070
INFO    | 2023-04-18 22:04:06,728 | arbiter.master_chief.sa_recon | Starting recon of 0x408080
INFO    | 2023-04-18 22:04:06,728 | arbiter.master_chief.sa_recon | Starting recon of 0x408090
INFO    | 2023-04-18 22:04:06,728 | arbiter.master_chief.sa_recon | Starting recon of 0x4080a0
INFO    | 2023-04-18 22:04:06,728 | arbiter.master_chief.sa_recon | Starting recon of 0x4080b0
INFO    | 2023-04-18 22:04:06,728 | arbiter.master_chief.sa_recon | Starting recon of 0x4080c0
INFO    | 2023-04-18 22:04:06,728 | arbiter.master_chief.sa_recon | Starting recon of 0x4080d0
INFO    | 2023-04-18 22:04:06,728 | arbiter.master_chief.sa_recon | Starting recon of 0x4080e0
INFO    | 2023-04-18 22:04:06,728 | arbiter.master_chief.sa_recon | Starting recon of 0x4080f0
INFO    | 2023-04-18 22:04:06,728 | arbiter.master_chief.sa_recon | Starting recon of 0x408100
INFO    | 2023-04-18 22:04:06,728 | arbiter.master_chief.sa_recon | Starting recon of 0x408110
INFO    | 2023-04-18 22:04:06,728 | arbiter.master_chief.sa_recon | Starting recon of 0x408120
INFO    | 2023-04-18 22:04:06,728 | arbiter.master_chief.sa_recon | Starting recon of 0x408130
INFO    | 2023-04-18 22:04:06,728 | arbiter.master_chief.sa_recon | Starting recon of 0x408140
INFO    | 2023-04-18 22:04:06,729 | arbiter.master_chief.sa_recon | Starting recon of 0x408150
INFO    | 2023-04-18 22:04:06,729 | arbiter.master_chief.sa_recon | Starting recon of 0x408160
INFO    | 2023-04-18 22:04:06,729 | arbiter.master_chief.sa_recon | Starting recon of 0x408170
INFO    | 2023-04-18 22:04:06,729 | arbiter.master_chief.sa_recon | Starting recon of 0x408180
INFO    | 2023-04-18 22:04:06,729 | arbiter.master_chief.sa_recon | Starting recon of 0x408190
INFO    | 2023-04-18 22:04:06,729 | arbiter.master_chief.sa_recon | Starting recon of 0x4081a0
INFO    | 2023-04-18 22:04:06,729 | arbiter.master_chief.sa_recon | Starting recon of 0x4081b0
INFO    | 2023-04-18 22:04:06,729 | arbiter.master_chief.sa_recon | Starting recon of 0x4081c0
INFO    | 2023-04-18 22:04:06,729 | arbiter.master_chief.sa_recon | Starting recon of 0x4081d0
INFO    | 2023-04-18 22:04:06,729 | arbiter.master_chief.sa_recon | Starting recon of 0x4081e0
INFO    | 2023-04-18 22:04:06,729 | arbiter.master_chief.sa_recon | Starting recon of 0x4081f0
INFO    | 2023-04-18 22:04:06,729 | arbiter.master_chief.sa_recon | Starting recon of 0x408200
INFO    | 2023-04-18 22:04:06,729 | arbiter.master_chief.sa_recon | Starting recon of 0x408210
INFO    | 2023-04-18 22:04:06,729 | arbiter.master_chief.sa_recon | Starting recon of 0x408220
INFO    | 2023-04-18 22:04:06,729 | arbiter.master_chief.sa_recon | Starting recon of 0x408230
INFO    | 2023-04-18 22:04:06,729 | arbiter.master_chief.sa_recon | Starting recon of 0x408240
INFO    | 2023-04-18 22:04:06,729 | arbiter.master_chief.sa_recon | Starting recon of 0x408250
