WARNING | 2023-04-18 21:47:37,969 | cle.loader | The main binary is a position-independent executable. It is being loaded with a base address of 0x400000.
DEBUG   | 2023-04-18 21:47:37,986 | arbiter.master_chief.sa_recon | Creating CFG
Identifying functions:   0%|          | 0/1702 [00:00<?, ?it/s]INFO    | 2023-04-18 21:47:48,095 | arbiter.master_chief.sa_recon | Starting recon of 0x404000
INFO    | 2023-04-18 21:47:48,096 | arbiter.master_chief.sa_recon | Starting recon of 0x404020
INFO    | 2023-04-18 21:47:48,096 | arbiter.master_chief.sa_recon | Starting recon of 0x40402d
INFO    | 2023-04-18 21:47:48,096 | arbiter.master_chief.sa_recon | Starting recon of 0x404030
INFO    | 2023-04-18 21:47:48,096 | arbiter.master_chief.sa_recon | Starting recon of 0x40403f
INFO    | 2023-04-18 21:47:48,096 | arbiter.master_chief.sa_recon | Starting recon of 0x404040
INFO    | 2023-04-18 21:47:48,096 | arbiter.master_chief.sa_recon | Starting recon of 0x40404f
INFO    | 2023-04-18 21:47:48,096 | arbiter.master_chief.sa_recon | Starting recon of 0x404050
INFO    | 2023-04-18 21:47:48,096 | arbiter.master_chief.sa_recon | Starting recon of 0x40405f
INFO    | 2023-04-18 21:47:48,096 | arbiter.master_chief.sa_recon | Starting recon of 0x404060
INFO    | 2023-04-18 21:47:48,096 | arbiter.master_chief.sa_recon | Starting recon of 0x40406f
INFO    | 2023-04-18 21:47:48,096 | arbiter.master_chief.sa_recon | Starting recon of 0x404070
INFO    | 2023-04-18 21:47:48,096 | arbiter.master_chief.sa_recon | Starting recon of 0x40407f
INFO    | 2023-04-18 21:47:48,097 | arbiter.master_chief.sa_recon | Starting recon of 0x404080
INFO    | 2023-04-18 21:47:48,097 | arbiter.master_chief.sa_recon | Starting recon of 0x40408f
INFO    | 2023-04-18 21:47:48,097 | arbiter.master_chief.sa_recon | Starting recon of 0x404090
INFO    | 2023-04-18 21:47:48,097 | arbiter.master_chief.sa_recon | Starting recon of 0x40409f
INFO    | 2023-04-18 21:47:48,097 | arbiter.master_chief.sa_recon | Starting recon of 0x4040a0
INFO    | 2023-04-18 21:47:48,097 | arbiter.master_chief.sa_recon | Starting recon of 0x4040af
INFO    | 2023-04-18 21:47:48,097 | arbiter.master_chief.sa_recon | Starting recon of 0x4040b0
INFO    | 2023-04-18 21:47:48,097 | arbiter.master_chief.sa_recon | Starting recon of 0x4040bf
INFO    | 2023-04-18 21:47:48,097 | arbiter.master_chief.sa_recon | Starting recon of 0x4040c0
INFO    | 2023-04-18 21:47:48,097 | arbiter.master_chief.sa_recon | Starting recon of 0x4040cf
INFO    | 2023-04-18 21:47:48,097 | arbiter.master_chief.sa_recon | Starting recon of 0x4040d0
INFO    | 2023-04-18 21:47:48,097 | arbiter.master_chief.sa_recon | Starting recon of 0x4040df
INFO    | 2023-04-18 21:47:48,097 | arbiter.master_chief.sa_recon | Starting recon of 0x4040e0
INFO    | 2023-04-18 21:47:48,097 | arbiter.master_chief.sa_recon | Starting recon of 0x4040ef
INFO    | 2023-04-18 21:47:48,097 | arbiter.master_chief.sa_recon | Starting recon of 0x4040f0
INFO    | 2023-04-18 21:47:48,097 | arbiter.master_chief.sa_recon | Starting recon of 0x4040ff
INFO    | 2023-04-18 21:47:48,098 | arbiter.master_chief.sa_recon | Starting recon of 0x404100
INFO    | 2023-04-18 21:47:48,098 | arbiter.master_chief.sa_recon | Starting recon of 0x40410f
INFO    | 2023-04-18 21:47:48,098 | arbiter.master_chief.sa_recon | Starting recon of 0x404110
INFO    | 2023-04-18 21:47:48,098 | arbiter.master_chief.sa_recon | Starting recon of 0x40411f
INFO    | 2023-04-18 21:47:48,098 | arbiter.master_chief.sa_recon | Starting recon of 0x404120
INFO    | 2023-04-18 21:47:48,098 | arbiter.master_chief.sa_recon | Starting recon of 0x40412f
INFO    | 2023-04-18 21:47:48,098 | arbiter.master_chief.sa_recon | Starting recon of 0x404130
INFO    | 2023-04-18 21:47:48,098 | arbiter.master_chief.sa_recon | Starting recon of 0x40413f
INFO    | 2023-04-18 21:47:48,098 | arbiter.master_chief.sa_recon | Starting recon of 0x404140
INFO    | 2023-04-18 21:47:48,098 | arbiter.master_chief.sa_recon | Starting recon of 0x40414f
INFO    | 2023-04-18 21:47:48,098 | arbiter.master_chief.sa_recon | Starting recon of 0x404150
INFO    | 2023-04-18 21:47:48,098 | arbiter.master_chief.sa_recon | Starting recon of 0x40415f
INFO    | 2023-04-18 21:47:48,098 | arbiter.master_chief.sa_recon | Starting recon of 0x404160
INFO    | 2023-04-18 21:47:48,098 | arbiter.master_chief.sa_recon | Starting recon of 0x40416f
INFO    | 2023-04-18 21:47:48,098 | arbiter.master_chief.sa_recon | Starting recon of 0x404170
INFO    | 2023-04-18 21:47:48,099 | arbiter.master_chief.sa_recon | Starting recon of 0x40417f
INFO    | 2023-04-18 21:47:48,099 | arbiter.master_chief.sa_recon | Starting recon of 0x404180
INFO    | 2023-04-18 21:47:48,099 | arbiter.master_chief.sa_recon | Starting recon of 0x40418f
INFO    | 2023-04-18 21:47:48,099 | arbiter.master_chief.sa_recon | Starting recon of 0x404190
