WARNING | 2023-04-19 02:04:30,418 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: saved_argv
WARNING | 2023-04-19 02:04:30,418 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: saved_argc
WARNING | 2023-04-19 02:04:30,422 | cle.loader | The main binary is a position-independent executable. It is being loaded with a base address of 0x400000.
WARNING | 2023-04-19 02:04:30,423 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
DEBUG   | 2023-04-19 02:04:30,460 | arbiter.master_chief.sa_recon | Creating CFG
Identifying functions:   0%|          | 0/928 [00:00<?, ?it/s]INFO    | 2023-04-19 02:04:36,154 | arbiter.master_chief.sa_recon | Starting recon of 0x404000
INFO    | 2023-04-19 02:04:36,155 | arbiter.master_chief.sa_recon | Starting recon of 0x404020
INFO    | 2023-04-19 02:04:36,155 | arbiter.master_chief.sa_recon | Starting recon of 0x40402d
INFO    | 2023-04-19 02:04:36,155 | arbiter.master_chief.sa_recon | Starting recon of 0x404030
INFO    | 2023-04-19 02:04:36,156 | arbiter.master_chief.sa_recon | Starting recon of 0x40403f
INFO    | 2023-04-19 02:04:36,156 | arbiter.master_chief.sa_recon | Starting recon of 0x404040
INFO    | 2023-04-19 02:04:36,156 | arbiter.master_chief.sa_recon | Starting recon of 0x40404f
INFO    | 2023-04-19 02:04:36,156 | arbiter.master_chief.sa_recon | Starting recon of 0x404050
INFO    | 2023-04-19 02:04:36,156 | arbiter.master_chief.sa_recon | Starting recon of 0x40405f
INFO    | 2023-04-19 02:04:36,157 | arbiter.master_chief.sa_recon | Starting recon of 0x404060
INFO    | 2023-04-19 02:04:36,157 | arbiter.master_chief.sa_recon | Starting recon of 0x40406f
INFO    | 2023-04-19 02:04:36,157 | arbiter.master_chief.sa_recon | Starting recon of 0x404070
INFO    | 2023-04-19 02:04:36,157 | arbiter.master_chief.sa_recon | Starting recon of 0x40407f
INFO    | 2023-04-19 02:04:36,157 | arbiter.master_chief.sa_recon | Starting recon of 0x404080
INFO    | 2023-04-19 02:04:36,158 | arbiter.master_chief.sa_recon | Starting recon of 0x40408f
INFO    | 2023-04-19 02:04:36,158 | arbiter.master_chief.sa_recon | Starting recon of 0x404090
INFO    | 2023-04-19 02:04:36,158 | arbiter.master_chief.sa_recon | Starting recon of 0x40409f
INFO    | 2023-04-19 02:04:36,158 | arbiter.master_chief.sa_recon | Starting recon of 0x4040a0
INFO    | 2023-04-19 02:04:36,159 | arbiter.master_chief.sa_recon | Starting recon of 0x4040af
INFO    | 2023-04-19 02:04:36,159 | arbiter.master_chief.sa_recon | Starting recon of 0x4040b0
INFO    | 2023-04-19 02:04:36,159 | arbiter.master_chief.sa_recon | Starting recon of 0x4040bf
INFO    | 2023-04-19 02:04:36,159 | arbiter.master_chief.sa_recon | Starting recon of 0x4040c0
INFO    | 2023-04-19 02:04:36,159 | arbiter.master_chief.sa_recon | Starting recon of 0x4040cf
INFO    | 2023-04-19 02:04:36,160 | arbiter.master_chief.sa_recon | Starting recon of 0x4040d0
INFO    | 2023-04-19 02:04:36,160 | arbiter.master_chief.sa_recon | Starting recon of 0x4040df
INFO    | 2023-04-19 02:04:36,160 | arbiter.master_chief.sa_recon | Starting recon of 0x4040e0
INFO    | 2023-04-19 02:04:36,160 | arbiter.master_chief.sa_recon | Starting recon of 0x4040ef
INFO    | 2023-04-19 02:04:36,160 | arbiter.master_chief.sa_recon | Starting recon of 0x4040f0
INFO    | 2023-04-19 02:04:36,161 | arbiter.master_chief.sa_recon | Starting recon of 0x4040ff
INFO    | 2023-04-19 02:04:36,161 | arbiter.master_chief.sa_recon | Starting recon of 0x404100
INFO    | 2023-04-19 02:04:36,161 | arbiter.master_chief.sa_recon | Starting recon of 0x40410f
INFO    | 2023-04-19 02:04:36,161 | arbiter.master_chief.sa_recon | Starting recon of 0x404110
INFO    | 2023-04-19 02:04:36,162 | arbiter.master_chief.sa_recon | Starting recon of 0x40411f
INFO    | 2023-04-19 02:04:36,162 | arbiter.master_chief.sa_recon | Starting recon of 0x404120
INFO    | 2023-04-19 02:04:36,163 | arbiter.master_chief.sa_recon | Starting recon of 0x40412f
INFO    | 2023-04-19 02:04:36,163 | arbiter.master_chief.sa_recon | Starting recon of 0x404130
INFO    | 2023-04-19 02:04:36,163 | arbiter.master_chief.sa_recon | Starting recon of 0x40413f
INFO    | 2023-04-19 02:04:36,163 | arbiter.master_chief.sa_recon | Starting recon of 0x404140
INFO    | 2023-04-19 02:04:36,163 | arbiter.master_chief.sa_recon | Starting recon of 0x40414f
INFO    | 2023-04-19 02:04:36,164 | arbiter.master_chief.sa_recon | Starting recon of 0x404150
INFO    | 2023-04-19 02:04:36,164 | arbiter.master_chief.sa_recon | Starting recon of 0x40415f
INFO    | 2023-04-19 02:04:36,164 | arbiter.master_chief.sa_recon | Starting recon of 0x404160
INFO    | 2023-04-19 02:04:36,164 | arbiter.master_chief.sa_recon | Starting recon of 0x40416f
INFO    | 2023-04-19 02:04:36,165 | arbiter.master_chief.sa_recon | Starting recon of 0x404170
INFO    | 2023-04-19 02:04:36,165 | arbiter.master_chief.sa_recon | Starting recon of 0x40417f
INFO    | 2023-04-19 02:04:36,165 | arbiter.master_chief.sa_recon | Starting recon of 0x404180
INFO    | 2023-04-19 02:04:36,165 | arbiter.master_chief.sa_recon | Starting recon of 0x40418f
INFO    | 2023-04-19 02:04:36,165 | arbiter.master_chief.sa_recon | Starting recon of 0x404190
INFO    | 2023-04-19 02:04:36,166 | arbiter.master_chief.sa_recon | Starting recon of 0x40419f
INFO    | 2023-04-19 02:04:36,166 | arbiter.master_chief.sa_recon | Starting recon of 0x4041a0
INFO    | 2023-04-19 02:04:36,166 | arbiter.master_chief.sa_recon | Starting recon of 0x4041af
INFO    | 2023-04-19 02:04:36,166 | arbiter.master_chief.sa_recon | Starting recon of 0x4041b0
INFO    | 2023-04-19 02:04:36,166 | arbiter.master_chief.sa_recon | Starting recon of 0x4041bf
INFO    | 2023-04-19 02:04:36,167 | arbiter.master_chief.sa_recon | Starting recon of 0x4041c0
INFO    | 2023-04-19 02:04:36,183 | arbiter.master_chief.sa_recon | Starting recon of 0x4041cf
INFO    | 2023-04-19 02:04:36,183 | arbiter.master_chief.sa_recon | Starting recon of 0x4041d0
INFO    | 2023-04-19 02:04:36,183 | arbiter.master_chief.sa_recon | Starting recon of 0x4041df
INFO    | 2023-04-19 02:04:36,184 | arbiter.master_chief.sa_recon | Starting recon of 0x4041e0
INFO    | 2023-04-19 02:04:36,184 | arbiter.master_chief.sa_recon | Starting recon of 0x4041ef
INFO    | 2023-04-19 02:04:36,184 | arbiter.master_chief.sa_recon | Starting recon of 0x4041f0
INFO    | 2023-04-19 02:04:36,184 | arbiter.master_chief.sa_recon | Starting recon of 0x4041ff
INFO    | 2023-04-19 02:04:36,184 | arbiter.master_chief.sa_recon | Starting recon of 0x404200
INFO    | 2023-04-19 02:04:36,185 | arbiter.master_chief.sa_recon | Starting recon of 0x40420f
INFO    | 2023-04-19 02:04:36,185 | arbiter.master_chief.sa_recon | Starting recon of 0x404210
INFO    | 2023-04-19 02:04:36,185 | arbiter.master_chief.sa_recon | Starting recon of 0x40421f
INFO    | 2023-04-19 02:04:36,185 | arbiter.master_chief.sa_recon | Starting recon of 0x404220
INFO    | 2023-04-19 02:04:36,186 | arbiter.master_chief.sa_recon | Starting recon of 0x40422f
INFO    | 2023-04-19 02:04:36,186 | arbiter.master_chief.sa_recon | Starting recon of 0x404230
INFO    | 2023-04-19 02:04:36,186 | arbiter.master_chief.sa_recon | Starting recon of 0x40423f
INFO    | 2023-04-19 02:04:36,186 | arbiter.master_chief.sa_recon | Starting recon of 0x404240
INFO    | 2023-04-19 02:04:36,186 | arbiter.master_chief.sa_recon | Starting recon of 0x40424f
INFO    | 2023-04-19 02:04:36,187 | arbiter.master_chief.sa_recon | Starting recon of 0x404250
INFO    | 2023-04-19 02:04:36,187 | arbiter.master_chief.sa_recon | Starting recon of 0x40425f
INFO    | 2023-04-19 02:04:36,187 | arbiter.master_chief.sa_recon | Starting recon of 0x404260
INFO    | 2023-04-19 02:04:36,187 | arbiter.master_chief.sa_recon | Starting recon of 0x40426f
INFO    | 2023-04-19 02:04:36,187 | arbiter.master_chief.sa_recon | Starting recon of 0x404270
INFO    | 2023-04-19 02:04:36,188 | arbiter.master_chief.sa_recon | Starting recon of 0x40427f
INFO    | 2023-04-19 02:04:36,188 | arbiter.master_chief.sa_recon | Starting recon of 0x404280
INFO    | 2023-04-19 02:04:36,188 | arbiter.master_chief.sa_recon | Starting recon of 0x40428f
INFO    | 2023-04-19 02:04:36,188 | arbiter.master_chief.sa_recon | Starting recon of 0x404290
INFO    | 2023-04-19 02:04:36,188 | arbiter.master_chief.sa_recon | Starting recon of 0x40429f
INFO    | 2023-04-19 02:04:36,189 | arbiter.master_chief.sa_recon | Starting recon of 0x4042a0
INFO    | 2023-04-19 02:04:36,189 | arbiter.master_chief.sa_recon | Starting recon of 0x4042af
INFO    | 2023-04-19 02:04:36,189 | arbiter.master_chief.sa_recon | Starting recon of 0x4042b0
INFO    | 2023-04-19 02:04:36,189 | arbiter.master_chief.sa_recon | Starting recon of 0x4042bf
INFO    | 2023-04-19 02:04:36,189 | arbiter.master_chief.sa_recon | Starting recon of 0x4042c0
INFO    | 2023-04-19 02:04:36,189 | arbiter.master_chief.sa_recon | Starting recon of 0x4042cf
INFO    | 2023-04-19 02:04:36,189 | arbiter.master_chief.sa_recon | Starting recon of 0x4042d0
INFO    | 2023-04-19 02:04:36,189 | arbiter.master_chief.sa_recon | Starting recon of 0x4042df
INFO    | 2023-04-19 02:04:36,189 | arbiter.master_chief.sa_recon | Starting recon of 0x4042e0
INFO    | 2023-04-19 02:04:36,189 | arbiter.master_chief.sa_recon | Starting recon of 0x4042ef
INFO    | 2023-04-19 02:04:36,189 | arbiter.master_chief.sa_recon | Starting recon of 0x4042f0
INFO    | 2023-04-19 02:04:36,189 | arbiter.master_chief.sa_recon | Starting recon of 0x4042ff
INFO    | 2023-04-19 02:04:36,189 | arbiter.master_chief.sa_recon | Starting recon of 0x404300
INFO    | 2023-04-19 02:04:36,189 | arbiter.master_chief.sa_recon | Starting recon of 0x40430f
INFO    | 2023-04-19 02:04:36,189 | arbiter.master_chief.sa_recon | Starting recon of 0x404310
INFO    | 2023-04-19 02:04:36,189 | arbiter.master_chief.sa_recon | Starting recon of 0x40431f
INFO    | 2023-04-19 02:04:36,189 | arbiter.master_chief.sa_recon | Starting recon of 0x404320
INFO    | 2023-04-19 02:04:36,189 | arbiter.master_chief.sa_recon | Starting recon of 0x40432f
INFO    | 2023-04-19 02:04:36,189 | arbiter.master_chief.sa_recon | Starting recon of 0x404330
INFO    | 2023-04-19 02:04:36,189 | arbiter.master_chief.sa_recon | Starting recon of 0x40433f
INFO    | 2023-04-19 02:04:36,189 | arbiter.master_chief.sa_recon | Starting recon of 0x404340
INFO    | 2023-04-19 02:04:36,189 | arbiter.master_chief.sa_recon | Starting recon of 0x40434f
INFO    | 2023-04-19 02:04:36,190 | arbiter.master_chief.sa_recon | Starting recon of 0x404350
INFO    | 2023-04-19 02:04:36,190 | arbiter.master_chief.sa_recon | Starting recon of 0x40435f
INFO    | 2023-04-19 02:04:36,190 | arbiter.master_chief.sa_recon | Starting recon of 0x404360
