WARNING | 2023-04-19 01:19:09,450 | cle.loader | The main binary is a position-independent executable. It is being loaded with a base address of 0x400000.
DEBUG   | 2023-04-19 01:19:09,467 | arbiter.master_chief.sa_recon | Creating CFG
Identifying functions:   0%|          | 0/808 [00:00<?, ?it/s]INFO    | 2023-04-19 01:19:14,424 | arbiter.master_chief.sa_recon | Starting recon of 0x402000
INFO    | 2023-04-19 01:19:14,424 | arbiter.master_chief.sa_recon | Starting recon of 0x402020
INFO    | 2023-04-19 01:19:14,424 | arbiter.master_chief.sa_recon | Starting recon of 0x40202d
INFO    | 2023-04-19 01:19:14,424 | arbiter.master_chief.sa_recon | Starting recon of 0x402030
INFO    | 2023-04-19 01:19:14,424 | arbiter.master_chief.sa_recon | Starting recon of 0x40203f
INFO    | 2023-04-19 01:19:14,424 | arbiter.master_chief.sa_recon | Starting recon of 0x402040
INFO    | 2023-04-19 01:19:14,424 | arbiter.master_chief.sa_recon | Starting recon of 0x40204f
INFO    | 2023-04-19 01:19:14,424 | arbiter.master_chief.sa_recon | Starting recon of 0x402050
INFO    | 2023-04-19 01:19:14,424 | arbiter.master_chief.sa_recon | Starting recon of 0x40205f
INFO    | 2023-04-19 01:19:14,424 | arbiter.master_chief.sa_recon | Starting recon of 0x402060
INFO    | 2023-04-19 01:19:14,424 | arbiter.master_chief.sa_recon | Starting recon of 0x40206f
INFO    | 2023-04-19 01:19:14,425 | arbiter.master_chief.sa_recon | Starting recon of 0x402070
INFO    | 2023-04-19 01:19:14,425 | arbiter.master_chief.sa_recon | Starting recon of 0x40207f
INFO    | 2023-04-19 01:19:14,425 | arbiter.master_chief.sa_recon | Starting recon of 0x402080
INFO    | 2023-04-19 01:19:14,425 | arbiter.master_chief.sa_recon | Starting recon of 0x40208f
INFO    | 2023-04-19 01:19:14,425 | arbiter.master_chief.sa_recon | Starting recon of 0x402090
INFO    | 2023-04-19 01:19:14,425 | arbiter.master_chief.sa_recon | Starting recon of 0x40209f
INFO    | 2023-04-19 01:19:14,425 | arbiter.master_chief.sa_recon | Starting recon of 0x4020a0
INFO    | 2023-04-19 01:19:14,425 | arbiter.master_chief.sa_recon | Starting recon of 0x4020af
INFO    | 2023-04-19 01:19:14,425 | arbiter.master_chief.sa_recon | Starting recon of 0x4020b0
INFO    | 2023-04-19 01:19:14,425 | arbiter.master_chief.sa_recon | Starting recon of 0x4020bf
INFO    | 2023-04-19 01:19:14,425 | arbiter.master_chief.sa_recon | Starting recon of 0x4020c0
INFO    | 2023-04-19 01:19:14,425 | arbiter.master_chief.sa_recon | Starting recon of 0x4020cf
INFO    | 2023-04-19 01:19:14,425 | arbiter.master_chief.sa_recon | Starting recon of 0x4020d0
INFO    | 2023-04-19 01:19:14,425 | arbiter.master_chief.sa_recon | Starting recon of 0x4020df
INFO    | 2023-04-19 01:19:14,425 | arbiter.master_chief.sa_recon | Starting recon of 0x4020e0
INFO    | 2023-04-19 01:19:14,425 | arbiter.master_chief.sa_recon | Starting recon of 0x4020ef
INFO    | 2023-04-19 01:19:14,425 | arbiter.master_chief.sa_recon | Starting recon of 0x4020f0
INFO    | 2023-04-19 01:19:14,425 | arbiter.master_chief.sa_recon | Starting recon of 0x4020ff
INFO    | 2023-04-19 01:19:14,425 | arbiter.master_chief.sa_recon | Starting recon of 0x402100
INFO    | 2023-04-19 01:19:14,425 | arbiter.master_chief.sa_recon | Starting recon of 0x40210f
INFO    | 2023-04-19 01:19:14,426 | arbiter.master_chief.sa_recon | Starting recon of 0x402110
INFO    | 2023-04-19 01:19:14,426 | arbiter.master_chief.sa_recon | Starting recon of 0x40211f
INFO    | 2023-04-19 01:19:14,426 | arbiter.master_chief.sa_recon | Starting recon of 0x402120
INFO    | 2023-04-19 01:19:14,426 | arbiter.master_chief.sa_recon | Starting recon of 0x40212f
INFO    | 2023-04-19 01:19:14,426 | arbiter.master_chief.sa_recon | Starting recon of 0x402130
INFO    | 2023-04-19 01:19:14,426 | arbiter.master_chief.sa_recon | Starting recon of 0x40213f
INFO    | 2023-04-19 01:19:14,426 | arbiter.master_chief.sa_recon | Starting recon of 0x402140
INFO    | 2023-04-19 01:19:14,426 | arbiter.master_chief.sa_recon | Starting recon of 0x40214f
INFO    | 2023-04-19 01:19:14,426 | arbiter.master_chief.sa_recon | Starting recon of 0x402150
INFO    | 2023-04-19 01:19:14,426 | arbiter.master_chief.sa_recon | Starting recon of 0x40215f
